FAO Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
Oct-96,74.4,86.6,61,71.1,69.08,68.8
Nov-96,72.7,85.4,59.9,67.4,70.01,66.3
Dec-96,71.5,81.5,60.2,67.6,70.17,66.5
Jan-97,71,79.1,60.3,68.1,70.76,66.2
Feb-97,71.2,79.4,59.5,68.4,71.49,66.9
Mar-97,73,83.1,59.3,70.6,70.32,68.8
Apr-97,73.5,83.9,59.1,70.8,71.11,69.9
May-97,72.9,83.8,58.8,68.8,71.65,68.9
Jun-97,70.3,80.4,58.6,65.2,68.96,70.7
Jul-97,68.6,79.7,58.1,62.4,65.53,69.4
Aug-97,70,80.6,57.8,65.7,65.4,72.4
Sep-97,70.1,80.2,59,65.1,67.96,70.1
Oct-97,69.9,75.8,60.8,65.6,72.78,70.6
Nov-97,70.5,76,61,64.2,76.71,74.3
Dec-97,68.1,69.8,61,63.4,75.55,76.3
Jan-98,67.5,67.7,60.9,62.7,79.26,71.5
Feb-98,67.7,68.7,59.7,62.7,81.88,66.3
Mar-98,67.6,68.4,57.8,63.2,84.68,60.9
Apr-98,67,68.4,57.6,60.8,86.01,60
May-98,66.6,66.8,56.5,60.2,89.97,57.1
Jun-98,64.4,66.7,55.6,59,82.76,50.1
Jul-98,64.4,67,55.3,57.5,83.56,53.5
Aug-98,62.6,64.8,55.4,54.1,83.17,52.5
Sep-98,62.1,65.1,53.9,53.9,84.56,44.7
Oct-98,62.9,64.7,52.1,57.7,84.44,46.2
Nov-98,62.8,63.2,52.1,58.2,84.31,49.9
Dec-98,62.2,63.8,52.3,56.8,82.04,50
Jan-99,61.2,62.7,52.4,57.1,77.31,50.2
Feb-99,58.6,63.3,51.5,54.9,68.4,42.2
Mar-99,57.2,63.4,50.7,55.2,62.31,37.3
Apr-99,56,61.7,48,53.7,64.88,33.5
May-99,55.6,62.2,47.4,52.8,62.26,35.6
Jun-99,54.8,62.7,47.1,53.6,54.79,37.3
Jul-99,52.8,62.9,46.4,51.4,48.63,33.3
Aug-99,54.6,64.8,46.4,53,52.29,35.6
Sep-99,54.8,63.4,46.8,52.6,54.07,41.3
Oct-99,53.5,60.7,47,51.5,52.96,41.9
Nov-99,53.5,61.8,47.5,51.3,51.32,40.2
Dec-99,52.1,59.5,48.5,50.4,49.49,37.2
Jan-00,52.8,60.6,50.2,52.1,48.58,34.7
Feb-00,52.5,60.9,50.4,52.2,46.37,32.7
Mar-00,53.1,62.8,50.1,51.7,47.82,31.8
Apr-00,53.7,62.3,50.4,51.8,49.5,37.3
May-00,54,63.3,50.9,52.8,44.49,42.8
Jun-00,54.2,63,53.8,51.4,42.93,51.8
Jul-00,54.4,62.7,55.6,49.8,42.67,59.6
Aug-00,53.5,60.3,56,48.6,41.7,64.6
Sep-00,52.9,59.4,57.4,49.4,38.47,62.1
Oct-00,53.7,59.5,59.1,51.2,36.38,66.5
Nov-00,54.2,60.4,59.6,52.1,37.67,61.5
Dec-00,54.8,60.4,60.1,53.7,38.14,62
1-Jan,54.1,58.3,59.7,53.9,37.27,63.9
1-Feb,54.6,62,59.5,53,35.83,61.1
1-Mar,55.5,64.9,59.7,52.2,38.2,57.4
1-Apr,55,65.3,59.5,51,38.03,54.1
1-May,55.8,65.6,62,51.7,36.57,59.3
1-Jun,55.2,63.8,62.4,51,38.85,56
1-Jul,56.9,64.1,62.9,51.7,47.44,54.4
